County,VotingMachine,Ballot,Undervote,Overvote,Bush00,Gore00,Buchanan00,Other00,Clinton96,Dole96,Perot96
Alachua,Optical,1-column,217.0,105.0,34124,47365,263,3971,40144,25303,8072
Baker,Optical,1-column,79.0,46.0,5610,2392,73,79,2273,3684,667
Bay,Optical,1-column,541.0,141.0,38637,18850,248,1065,17020,28290,5922
Bradford,Optical,2-column,41.0,695.0,5414,3075,65,119,3356,4038,819
Brevard,Optical,1-column,277.0,136.0,115185,97318,570,5311,80416,87980,25249
Broward,Votomatic,1-column,4946.0,7826.0,177902,387703,795,8689,320736,142834,38964
Calhoun,Optical,1-column,78.0,0.0,2873,2155,90,56,1794,1717,630
Charlotte,Optical,2-column,170.0,2985.0,35426,29645,182,1637,27121,27836,7783
Citrus,Optical,1-column,154.0,54.0,29767,25525,270,1637,22042,20114,7244
Clay,Optical,1-column,223.0,157.0,41736,14632,186,798,13246,30332,3281
Collier,Votomatic,1-column,2070.0,1134.0,60450,29921,122,1662,23182,42590,6320
Columbia,Optical,1-column,76.0,615.0,10964,7047,89,407,6691,7588,1970
Desoto,Datavote,2-column,66.0,568.0,4256,3320,36,199,3219,3272,965
Dixie,Datavote,1-column,22.0,306.0,2697,1826,29,114,1731,1398,652
Duval,Votomatic,2-column,5090.0,21855.0,152098,107864,652,3985,112258,126857,13844
Escambia,Optical,1-column,679.0,3680.0,73017,40943,502,2180,37768,60839,8587
Flagler,Optical,1-column,60.0,7.0,12613,13897,83,517,9583,8232,2185
Franklin,Optical,2-column,70.0,350.0,2454,2046,33,110,2095,1563,878
Gadsden,Optical,2-column,121.0,1946.0,4767,9735,38,184,9405,3813,938
Gilchrist,Datavote,1-column,47.0,241.0,3300,1910,29,156,1985,1939,841
Glades,Datavote,1-column,68.0,281.0,1841,1442,9,73,1530,1361,521
Gulf,Optical,2-column,47.0,362.0,3550,2397,71,124,2480,2424,1054
Hamilton,Optical,2-column,31.0,373.0,2146,1722,23,69,1734,1518,406
Hardee,Datavote,1-column,84.0,323.0,3765,2339,30,99,2417,2926,851
Hendry,Optical,2-column,39.0,760.0,4747,3240,22,127,3882,3855,1135
Hernando,Optical,1-column,83.0,148.0,30646,32644,242,1679,28520,22039,7272
Highlands,Votomatic,1-column,466.0,520.0,20206,14167,127,643,14244,15608,3739
Hillsborough,Votomatic,1-column,5431.0,3640.0,180760,169557,847,9096,144223,136621,25154
Holmes,Optical,1-column,97.0,40.0,5011,2177,76,130,2310,3248,1208
Indian River,Votomatic,1-column,1044.0,790.0,28635,19768,105,1110,16373,22709,4635
Jackson,Optical,2-column,94.0,998.0,9138,6868,102,192,6665,7187,1602
Jefferson,Datavote,1-column,30.0,540.0,2478,3041,29,93,2543,1851,393
Lafayette,Optical,2-column,17.0,160.0,1670,789,10,34,829,1166,316
Lake,Optical,1-column,203.0,3138.0,50010,36571,289,1737,29750,35089,8813
Lee,Votomatic,1-column,1975.0,2531.0,106141,73560,305,4341,65692,80882,18389
Leon,Optical,1-column,176.0,0.0,39062,61427,282,2344,50058,33914,6672
Levy,Optical,2-column,51.0,708.0,6858,5398,67,400,4938,4299,1774
Liberty,Optical,2-column,21.0,167.0,1317,1017,39,37,868,913,376
Madison,Datavote,1-column,31.0,444.0,3038,3014,29,81,2791,2195,578
Manatee,Optical,1-column,109.0,1264.0,57952,49177,271,2816,41835,44059,10360
Marion,Votomatic,1-column,2410.0,890.0,55141,44665,563,2574,37033,41397,11340
Martin,Lever,1-column,177.0,56.0,33970,26620,112,1297,20851,28516,5005
Miami-Dade,Votomatic,1-column,10570.0,17833.0,289533,328808,560,6461,317378,209634,24722
Monroe,Optical,1-column,83.0,97.0,16059,16483,47,1297,15219,12021,4817
Nassau,Datavote,2-column,197.0,1295.0,16404,6952,90,334,7276,12134,1657
Okaloosa,Optical,1-column,83.0,679.0,52093,16948,267,1368,16434,40631,5432
Okeechobee,Optical,2-column,84.0,774.0,5057,4588,43,164,4824,3415,1666
Orange,Optical,1-column,640.0,1197.0,134517,140220,446,4929,105513,106026,18191
Osceola,Votomatic,1-column,634.0,1039.0,26212,28181,145,1110,21870,18335,6091
Palm Beach,Votomatic,2-column,10134.0,19218.0,152951,269732,3411,7047,230621,133762,30739
Pasco,Votomatic,1-column,1763.0,2124.0,68582,69564,570,3996,66472,48346,18011
Pinellas,Votomatic,1-column,4240.0,4258.0,184825,200630,1013,11963,184728,152125,36990
Polk,Optical,1-column,219.0,668.0,90295,75200,533,2571,66735,67943,14991
Putnam,Optical,1-column,82.0,79.0,13447,12102,148,523,12008,9781,3272
Santa Rosa,Optical,1-column,163.0,67.0,36274,12802,311,931,10923,26244,4957
Sarasota,Votomatic,1-column,1846.0,994.0,83100,72853,305,4673,63648,69198,14939
Seminole,Optical,1-column,203.0,48.0,75677,59174,194,2583,45051,59778,9357
St. Johns,Optical,1-column,426.0,130.0,39546,19502,229,1465,16713,27311,4205
St. Lucie,Optical,1-column,537.0,82.0,34705,41559,124,1597,36168,28892,8482
Sumter,Votomatic,1-column,596.0,170.0,12127,9637,114,381,7014,5960,2375
Suwannee,Optical,2-column,39.0,686.0,8006,4075,108,266,4479,5742,1874
Taylor,Optical,2-column,87.0,517.0,4056,2649,27,76,3583,3188,1140
Union,Hand,2-column,25.0,233.0,2332,1407,37,49,1388,1636,425
Volusia,Optical,1-column,339.0,171.0,82357,97304,498,3486,78905,63067,17319
Wakulla,Datavote,1-column,49.0,373.0,4512,3838,46,189,3054,2931,1091
Walton,Optical,1-column,135.0,72.0,12182,5642,120,371,5341,7706,2342
Washington,Optical,1-column,305.0,36.0,4994,2798,88,145,2992,3522,1287
(Federal Absentee),,,,,1575,836,5,636,902,1212,94
