year,longitude,latitude
1982,-2.949369,43.264205
1982,-5.970467,37.383878
1998,-1.525278,47.255556
1938,3.036111,50.6375
1938,1.434055,43.583296
1986,-103.416111111,20.693888888
2022,51.532113,25.235052
2010,18.411152777,-33.903461111
1950,-51.227222,-30.061667
2014,-43.230163888,-22.912166666
1994,-74.076944444,40.812222222
2010,29.468765,-23.924689
2002,131.6575,33.200556
1998,2.253055555,48.841388888
2010,30.929777777,-25.461888888
2022,51.341279,25.330538
1986,-100.286417,25.65225
1986,-99.666794,19.287286
1954,7.62,47.541389
1982,-0.901822,41.636592
2022,51.48777771,25.65222168
2010,27.160833333,-25.578611111
2006,7.451667,51.4925
2002,135.168888888,34.656666666
1958,16.773055555,60.608888888
2010,31.0303,-29.829
1950,-34.902888888,-8.062888888
2014,-35.008333333,-8.040555555
1986,-101.657744,21.115544
2006,7.067588888,51.554502777
1938,5.395833333,43.269722222
2002,127.325056,36.365229
1934,12.472222,41.927222
2018,37.553611111,55.715833333
1998,4.8325,45.723889
1954,7.465,46.962778
1998,4.39,45.460833
1934,14.293333,40.859722
1970,-99.150555555,19.303055555
1986,-99.150555555,19.303055555
2014,-56.120556,-15.603056
2006,9.898611,53.586944
2002,129.259444444,35.535277777
1994,-71.267441666,42.0927
1994,-96.759722222,32.779722222
2002,126.874914,35.133727
1982,-0.663333,38.266944
1978,-58.520711,-34.635375
1982,-5.981611,37.356403
1934,13.79425764,45.62381518
1978,-58.449722222,-34.545277777
1990,9.123947,45.478055
1978,-68.879994,-32.889564
1986,-100.366388888,20.577777777
1994,-76.971666666,38.889722222
2022,51.574083333,25.159777777
1994,-87.616666666,41.8625
2006,9.731111,52.36
2002,126.897361111,37.568222222
1982,-4.761111,41.644444
1966,-1.884722222,52.509166666
1958,16.54104444,59.62044722
2018,50.23769,53.277534
1966,-2.291388888,53.463055555
1970,-98.164444,19.078056
1934,11.309719,44.49362
1982,-5.637222,43.536111
2006,13.239444444,52.514722222
1934,7.65,45.041667
1982,2.133333333,41.393055555
2018,49.161,55.821
2018,37.4403,55.8178
2018,39.955858093,43.401769445
1998,2.814722,50.432778
1962,-71.535,-33.014444444
2002,135.518333,34.613889
1930,-56.1562,-34.905053
2014,-60.028056,-3.083056
1938,-0.598056,44.829167
1970,-103.328139,20.705
2022,51.424274,25.310595
2006,8.645278,50.068611
1998,3.811944,43.621944
1938,7.1256,43.5909
2014,-46.474,-23.545555555
2006,12.348056,51.345833
1990,7.641261111,45.109561111
2014,-49.276944,-25.448333
1986,-98.164444,19.078056
1986,-98.986944444,19.405833333
2018,30.220533,59.972953
1962,-70.299166666,-18.4875
1950,-49.255833,-25.439444
1934,8.952428,44.416431
1990,11.282258,43.780822
1986,-103.328139,20.705
1954,8.504722,47.393056
2014,-51.236086,-30.065614
2018,43.963333333,56.3375
2010,28.060833333,-26.1975
2002,126.509361,33.246212
1962,-70.7375,-34.177777777
2002,139.606247,35.510044
1978,-60.674567,-32.913997
1998,5.395833333,43.269722222
2002,127.06448,35.868071
1982,-8.417372,43.368667
2018,60.573541375,56.83248057
1974,7.099722222,50.733888888
1982,-0.358333,39.474722
2022,51.448055555,25.263611111
1982,-4.426422,36.734092
2002,126.690699,37.434984
2010,26.208888888,-29.117222222
1982,-5.86082,43.35791
1970,-99.666794,19.287286
2002,139.717492,35.903142
2014,-38.522481,-3.807267
2002,129.058361,35.190103
1994,-122.161111111,37.434444444
1938,4.025,49.246667
1982,2.1225,41.380833
2006,11.125617009,49.426240624
1958,16.495,59.370667
1994,-81.402777777,28.539166666
2014,-38.504252777,-12.978819444
2022,51.490388888,25.420861111
1930,-56.152778,-34.894444
1998,1.434055,43.583296
2010,28.223014,-25.753189
1982,-0.4925,38.357222
1958,12.934921,57.735724
1954,6.1182,46.2091
1950,-43.230163888,-22.912166666
1986,-99.192106,19.331928
1958,17.996388888,59.362777777
2014,-35.21236,-5.82681
1938,7.754969,48.560064
1958,12.866388888,56.684166666
1990,16.840072,41.084736
2022,51.566465,25.288695
1958,12.989166666,55.586111111
1990,12.454714,41.933872
1982,-3.68835,40.45306
1978,-57.582333,-38.017944
1958,12.706944444,56.049444444
1966,-1.246944,54.564167
1958,16.173055555,58.584166666
1930,-56.159,-34.8845
2002,139.059166666,37.8825
1954,6.625,46.534
1990,10.968647,45.435356
1962,-70.610586,-33.464522
2002,140.950419444,38.335391666
2006,6.875,50.933611
2006,7.775833,49.434444
2010,25.598889,-33.937778
2014,-43.970833,-19.865833
1998,2.360104,48.924438
1982,-8.740328,42.211861
1990,11.309719,44.49362
1938,2.253055555,48.841388888
1958,11.987222222,57.705833333
1982,-3.720556,40.401667
1990,13.342275,38.152767
2002,141.409767,43.015172
1966,-0.2274,51.513619444
2006,9.231944,48.792222
1998,-0.598056,44.829167
1994,-83.255,42.645833333
1990,9.134944,39.199389
1958,15.22305556,59.26611111
1994,-118.1675,34.161389
1970,-101.657744,21.115544
1966,-2.966388888,53.438888888
1966,-0.279722222,51.555555555
1938,2.248055555,48.929444444
1990,14.193008,40.827967
1934,9.123947,45.478055
2002,-43.22722222,-22.91388889
1950,-46.665111,-23.548639
1986,-100.312055555,25.722805555
2006,11.624752777,48.218775
1978,-64.246244,-31.368956
2002,127.036855,37.286421
1990,8.952428,44.416431
1954,8.961667,46.023611
1966,-1.500555555,53.411388888
2010,24.0,-29.0
2018,45.2014,54.1828
1990,13.200136,46.081603
2018,39.74166667,47.20833333
2018,20.533888888,54.698055555
2018,44.5481,48.7346
1934,11.282258,43.780822
1966,-1.375480555,54.9213
2010,27.982378,-26.234806
2014,-47.899164,-15.7835
1958,11.95,58.35666667
1938,0.171111111,49.501944444
1950,-43.917778,-19.908333
2002,128.690205,35.829739
1986,-101.3563,20.6845
2002,140.640525,35.991744
